0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:04 -0200] "GET /Zulu/layout/css/estilo.css HTTP/1.1" 200 6257
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:04 -0200] "GET /Zulu/addons/js/jogador.js HTTP/1.1" 200 7652
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:04 -0200] "POST /Zulu/ValidaSessao HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:05 -0200] "GET /Zulu/paginas/jogador/index.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:05 -0200] "GET /Zulu/addons/js/jogador.js HTTP/1.1" 200 7652
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:05 -0200] "GET /Zulu/layout/css/estilo.css HTTP/1.1" 200 6257
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:06 -0200] "POST /Zulu/ValidaSessao HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:06 -0200] "GET /Zulu/paginas/jogador/index.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:06 -0200] "GET /Zulu/addons/js/jogador.js HTTP/1.1" 200 7652
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:06 -0200] "GET /Zulu/layout/css/estilo.css HTTP/1.1" 200 6257
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:07 -0200] "POST /Zulu/ValidaSessao HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:15 -0200] "POST /Zulu/ConsultaSapos HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:15 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:15 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:15 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:15 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:15 -0200] "POST /Zulu/ConverteTempo HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:21 -0200] "GET /Zulu/ HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:21 -0200] "GET /Zulu/layout/css/estilo.css HTTP/1.1" 200 6257
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:21 -0200] "GET /Zulu/addons/js/visitante.js HTTP/1.1" 200 7230
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:21 -0200] "GET /Zulu/layout/imagens/logoteste.png HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:21 -0200] "GET /Zulu/paginas/visitante/main.html HTTP/1.1" 200 1397
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:21 -0200] "GET /Zulu/layout/imagens/favicon.png HTTP/1.1" 200 1546
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:21 -0200] "POST /Zulu/ConsultaRankingMaior HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:21 -0200] "POST /Zulu/ConsultaRankingTotal HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:21 -0200] "GET /Zulu/layout/imagens/fundoSapoLogo.png HTTP/1.1" 200 274693
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:27 -0200] "POST /Zulu/Login HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:27 -0200] "GET /Zulu/paginas/jogador/index.html HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:27 -0200] "GET /Zulu/addons/js/jogador.js HTTP/1.1" 200 7652
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:28 -0200] "POST /Zulu/ValidaSessao HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:28 -0200] "GET /Zulu/paginas/jogador/main.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:28 -0200] "GET /Zulu/addons/js/jogo.js HTTP/1.1" 200 87869
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:28 -0200] "GET /Zulu/addons/jogo/imagens/fundo/fundoDesfocado.png HTTP/1.1" 200 264024
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:28 -0200] "GET /Zulu/addons/jogo/imagens/logo/logo.png HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:28 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoJogar.png HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:28 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoAjuda.png HTTP/1.1" 200 3577
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:35 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "POST /Zulu/ConsultaSapos HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/fundo/retanguloAzul.png HTTP/1.1" 200 3870
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/fundo/fundoGirinoNoite.png HTTP/1.1" 200 43859
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girino1.png HTTP/1.1" 200 8328
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/fundo/fundoGirino.png HTTP/1.1" 200 45033
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/fundo/quadradoAzul.png HTTP/1.1" 200 7024
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/icones/controle.png HTTP/1.1" 200 9822
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/icones/loja.png HTTP/1.1" 200 12561
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoMenu.png HTTP/1.1" 200 4587
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/icones/dinheiro.png HTTP/1.1" 200 7601
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/icones/bosta.png HTTP/1.1" 200 7912
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/barrinhas/saude0.png HTTP/1.1" 200 3158
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/icones/inventario.png HTTP/1.1" 200 7651
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoOK.png HTTP/1.1" 200 9129
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/barrinhas/comida0.png HTTP/1.1" 200 3255
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "GET /Zulu/addons/jogo/imagens/barrinhas/diversao0.png HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:36 -0200] "POST /Zulu/ConverteTempo HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:40 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoPausar.png HTTP/1.1" 200 6482
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:40 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoContinuar.png HTTP/1.1" 200 4315
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:40 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoSalvar.png HTTP/1.1" 200 6095
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:40 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoReiniciar.png HTTP/1.1" 200 5225
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:40 -0200] "GET /Zulu/addons/jogo/imagens/icones/botaoFechar.png HTTP/1.1" 200 15149
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:40 -0200] "POST /Zulu/AtualizaDados HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:40 -0200] "POST /Zulu/AtualizaDados HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:41 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:41 -0200] "POST /Zulu/ConverteTempo HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:41 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:49 -0200] "GET /Zulu/addons/jogo/imagens/coresSapo/sapoLaranja.png HTTP/1.1" 200 11755
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:49 -0200] "GET /Zulu/addons/jogo/imagens/coresSapo/sapoVermelho.png HTTP/1.1" 200 11751
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:49 -0200] "GET /Zulu/addons/jogo/imagens/coresSapo/sapoAmarelo.png HTTP/1.1" 200 11665
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:49 -0200] "GET /Zulu/addons/jogo/imagens/coresSapo/sapoRosa.png HTTP/1.1" 200 11738
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:49 -0200] "GET /Zulu/addons/jogo/imagens/coresSapo/sapoAzul.png HTTP/1.1" 200 11831
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:49 -0200] "GET /Zulu/addons/jogo/imagens/coresSapo/sapoRoxo.png HTTP/1.1" 200 11742
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:49 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girinoAzul.png HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:49 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girinoLaranja.png HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:49 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girinoCinza.png HTTP/1.1" 200 8078
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:49 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girinoRoxo.png HTTP/1.1" 200 8094
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:49 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girinoRosa.png HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:49 -0200] "GET /Zulu/addons/jogo/imagens/coresGirinos/girino2.png HTTP/1.1" 200 8298
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:35:49 -0200] "POST /Zulu/ConsultaProdutos HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:23 -0200] "POST /Zulu/ConsultaProdutos HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:25 -0200] "POST /Zulu/ConsultaProdutos HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:25 -0200] "POST /Zulu/ConsultaProdutos HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:25 -0200] "POST /Zulu/ConsultaProdutos HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:26 -0200] "GET /Zulu/addons/jogo/imagens/comidas/agua.png HTTP/1.1" 200 10827
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:26 -0200] "GET /Zulu/addons/jogo/imagens/comidas/banana.png HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:26 -0200] "GET /Zulu/addons/jogo/imagens/comidas/cupcake.png HTTP/1.1" 200 9963
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:26 -0200] "GET /Zulu/addons/jogo/imagens/comidas/hamburguer.png HTTP/1.1" 200 8935
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:26 -0200] "GET /Zulu/addons/jogo/imagens/comidas/maca.png HTTP/1.1" 200 8873
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:26 -0200] "GET /Zulu/addons/jogo/imagens/comidas/ovoFrito.png HTTP/1.1" 200 8977
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:26 -0200] "GET /Zulu/addons/jogo/imagens/comidas/cenoura.png HTTP/1.1" 200 10285
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:26 -0200] "GET /Zulu/addons/jogo/imagens/comidas/refrigerante.png HTTP/1.1" 200 10844
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:26 -0200] "GET /Zulu/addons/jogo/imagens/comidas/sucoLaranja.png HTTP/1.1" 200 10865
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:27 -0200] "POST /Zulu/ConsultaProdutos HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:37 -0200] "POST /Zulu/ConsultaProdutos HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:38 -0200] "POST /Zulu/ConsultaProdutos HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:36:40 -0200] "POST /Zulu/ConsultaProdutos HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:40:35 -0200] "POST /Zulu/AtualizaDados HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:41:12 -0200] "POST /Zulu/AtualizaDados HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:41:12 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:41:12 -0200] "POST /Zulu/ConverteTempo HTTP/1.1" 200 10
0:0:0:0:0:0:0:1 - - [19/Nov/2018:14:41:12 -0200] "POST /Zulu/ConsultaVivos HTTP/1.1" 200 175
